date,a,b,c,d,e,mb
4-16-19,11,29,34,48,54,10
4-19-19,18,25,43,44,57,25
4-23-19,7,24,30,48,67,9
4-26-19,9,17,23,30,46,10
4-30-19,24,37,41,61,70,20
5-3-19,8,16,22,66,68,11
5-7-19,3,6,34,54,63,19
5-10-19,3,16,21,61,62,19
5-14-19,11,59,66,67,68,18
5-17-19,5,17,28,32,63,11
5-21-19,10,50,55,56,58,15
5-24-19,14,41,44,56,62,10
5-28-19,9,21,34,42,50,21
5-31-19,7,8,26,65,67,4
6-4-19,25,37,46,48,68,25
6-7-19,17,19,27,40,68,2
6-11-19,20,34,39,43,57,13
6-14-19,19,40,47,57,65,6
6-18-19,12,14,22,24,48,21
6-21-19,13,30,36,48,62,18
6-25-19,24,33,45,47,61,17
6-28-19,2,35,49,53,63,1
7-2-19,3,25,37,40,55,13
7-5-19,6,38,47,57,63,12
7-9-19,12,26,40,48,64,1
7-12-19,8,25,38,56,59,7
7-16-19,8,16,31,48,52,23
7-19-19,16,18,28,33,67,14
7-23-19,1,4,23,40,45,11
7-26-19,4,6,11,43,48,11
7-30-19,10,24,28,33,38,6
8-2-19,11,20,26,48,70,19
8-6-19,11,17,31,43,55,16
8-9-19,15,53,56,59,63,1
8-13-19,7,27,31,34,51,5
8-16-19,4,14,24,26,46,14
8-20-19,8,14,25,51,63,4
8-23-19,11,15,37,54,68,21
8-27-19,8,12,23,39,43,6
8-30-19,3,9,11,34,39,10
9-3-19,13,20,27,61,62,5
9-6-19,4,11,13,19,31,10
9-10-19,34,47,48,50,55,24
9-13-19,6,16,37,59,62,5
9-17-19,12,15,30,50,65,1
9-20-19,23,24,42,48,53,22
9-24-19,6,14,24,42,46,9
9-27-19,12,20,31,43,45,20
10-1-19,10,17,39,42,59,3
10-4-19,11,38,44,48,70,17
10-8-19,5,8,10,17,48,23
10-11-19,14,22,30,37,60,8
10-15-19,4,12,14,35,70,2
10-18-19,18,58,60,65,67,20
10-22-19,5,11,14,23,25,10
10-25-19,16,24,25,52,60,6
10-29-19,4,9,17,27,39,22
11-1-19,9,20,36,41,54,22
11-5-19,2,9,24,49,54,19
11-8-19,3,4,10,39,58,14
11-12-19,19,30,44,56,65,24
11-15-19,12,19,34,35,68,20
11-19-19,22,43,44,47,66,22
11-22-19,7,12,17,49,53,24
11-26-19,8,27,29,38,43,13
11-29-19,6,8,31,50,65,9
12-3-19,23,43,60,63,69,19
12-6-19,20,31,40,46,61,20
12-10-19,18,31,46,54,61,25
